CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_200302_017,1,1,0,0,0,0,0,0
sps4_200302_018,1,1,0,0,0,0,0,0
sps4_200302_019,1,1,0,0,0,0,0,0
sps4_200302_020,1,1,0,0,0,0,0,0
sps4_200302_021,1,1,0,0,0,0,0,0
sps4_200302_022,1,1,0,0,0,0,0,0
sps4_200302_023,1,1,0,0,0,0,0,0
sps4_200302_024,1,1,0,0,0,0,0,0
sps4_200302_025,1,1,0,0,0,0,0,0
sps4_200402_001,1,1,1,1,1,0,0,0
sps4_200402_002,1,1,1,1,1,0,0,0
sps4_200402_003,1,1,1,1,1,0,0,0
sps4_200402_004,1,0,0,0,0,0,0,0
sps4_200402_005,1,1,1,1,1,0,0,0
sps4_200402_006,1,1,1,1,1,0,0,0
sps4_200402_007,1,1,1,1,1,0,0,0
sps4_200402_008,1,1,1,1,1,0,0,0
sps4_200402_009,1,1,1,1,1,0,0,0
sps4_200402_010,1,1,1,1,1,0,0,0
sps4_200402_011,1,1,1,1,1,0,0,0
sps4_200402_012,1,1,1,1,1,0,0,0
sps4_200402_013,1,1,1,1,1,0,0,0
sps4_200402_014,1,1,1,1,1,0,0,0
sps4_200402_015,1,1,1,1,1,0,0,0
sps4_200402_016,1,0,0,0,0,0,0,0
sps4_200402_017,1,1,1,1,1,0,0,0
sps4_200402_018,1,1,1,1,1,0,0,0
sps4_200402_019,1,1,1,1,1,0,0,0
sps4_200402_020,1,1,1,1,1,0,0,0
sps4_200402_021,1,1,1,1,1,0,0,0
sps4_200402_022,1,1,1,1,1,0,0,0
sps4_200402_023,1,1,1,1,1,0,0,0
sps4_200402_024,1,1,1,1,1,0,0,0
sps4_200402_025,1,1,1,1,1,0,0,0
sps4_200502_001,1,1,1,1,1,0,0,0
sps4_200502_002,1,1,1,1,1,0,0,0
sps4_200502_003,1,1,1,1,1,0,0,0
sps4_200502_004,1,0,0,0,0,0,0,0
sps4_200502_005,1,1,1,1,1,0,0,0
sps4_200502_006,1,1,1,1,1,0,0,0
sps4_200502_007,1,1,1,1,1,0,0,0
sps4_200502_008,1,1,1,0,0,0,0,0
sps4_200502_009,1,1,1,0,0,0,0,0
sps4_200502_010,1,1,0,0,0,0,0,0
sps4_200502_011,1,1,0,0,0,0,0,0
sps4_200502_012,1,1,0,0,0,0,0,0
sps4_200502_013,1,1,0,0,0,0,0,0
sps4_200502_014,0,0,0,0,0,0,0,0
sps4_200502_015,0,0,0,0,0,0,0,0
sps4_200502_016,0,0,0,0,0,0,0,0
sps4_200502_017,0,0,0,0,0,0,0,0
sps4_200502_018,0,0,0,0,0,0,0,0
sps4_200502_019,0,0,0,0,0,0,0,0
sps4_200502_020,0,0,0,0,0,0,0,0
sps4_200502_021,0,0,0,0,0,0,0,0
sps4_200502_022,0,0,0,0,0,0,0,0
sps4_200502_023,0,0,0,0,0,0,0,0
sps4_200502_024,0,0,0,0,0,0,0,0
sps4_200502_025,0,0,0,0,0,0,0,0
sps4_200602_001,0,0,0,0,0,0,0,0
sps4_200602_002,0,0,0,0,0,0,0,0
sps4_200602_003,0,0,0,0,0,0,0,0
sps4_200602_004,0,0,0,0,0,0,0,0
sps4_200602_005,0,0,0,0,0,0,0,0
sps4_200602_006,0,0,0,0,0,0,0,0
sps4_200602_007,0,0,0,0,0,0,0,0
sps4_200602_008,0,0,0,0,0,0,0,0
sps4_200602_009,0,0,0,0,0,0,0,0
sps4_200602_010,0,0,0,0,0,0,0,0
sps4_200602_011,0,0,0,0,0,0,0,0
sps4_200602_012,0,0,0,0,0,0,0,0
sps4_200602_013,0,0,0,0,0,0,0,0
sps4_200602_014,0,0,0,0,0,0,0,0
sps4_200602_015,0,0,0,0,0,0,0,0
sps4_200602_016,0,0,0,0,0,0,0,0
sps4_200602_017,0,0,0,0,0,0,0,0
sps4_200602_018,0,0,0,0,0,0,0,0
sps4_200602_019,0,0,0,0,0,0,0,0
sps4_200602_020,0,0,0,0,0,0,0,0
sps4_200602_021,0,0,0,0,0,0,0,0
sps4_200602_022,0,0,0,0,0,0,0,0
sps4_200602_023,0,0,0,0,0,0,0,0
sps4_200602_024,0,0,0,0,0,0,0,0
sps4_200602_025,0,0,0,0,0,0,0,0
sps4_200702_001,0,0,0,0,0,0,0,0
sps4_200702_002,0,0,0,0,0,0,0,0
sps4_200702_003,0,0,0,0,0,0,0,0
sps4_200702_004,0,0,0,0,0,0,0,0
sps4_200702_005,0,0,0,0,0,0,0,0
sps4_200702_006,0,0,0,0,0,0,0,0
sps4_200702_007,0,0,0,0,0,0,0,0
sps4_200702_008,0,0,0,0,0,0,0,0
sps4_200702_009,0,0,0,0,0,0,0,0
sps4_200702_010,0,0,0,0,0,0,0,0
sps4_200702_011,0,0,0,0,0,0,0,0
sps4_200702_012,0,0,0,0,0,0,0,0
sps4_200702_013,0,0,0,0,0,0,0,0
sps4_200702_014,0,0,0,0,0,0,0,0
sps4_200702_015,0,0,0,0,0,0,0,0
sps4_200702_016,0,0,0,0,0,0,0,0
sps4_200702_017,0,0,0,0,0,0,0,0
sps4_200702_018,0,0,0,0,0,0,0,0
sps4_200702_019,0,0,0,0,0,0,0,0
sps4_200702_020,0,0,0,0,0,0,0,0
sps4_200702_021,0,0,0,0,0,0,0,0
sps4_200702_022,0,0,0,0,0,0,0,0
sps4_200702_023,0,0,0,0,0,0,0,0
sps4_200702_024,0,0,0,0,0,0,0,0
sps4_200702_025,0,0,0,0,0,0,0,0
sps4_200802_001,0,0,0,0,0,0,0,0
sps4_200802_002,0,0,0,0,0,0,0,0
sps4_200802_003,0,0,0,0,0,0,0,0
sps4_200802_004,0,0,0,0,0,0,0,0
sps4_200802_005,0,0,0,0,0,0,0,0
sps4_200802_006,0,0,0,0,0,0,0,0
sps4_200802_007,0,0,0,0,0,0,0,0
sps4_200802_008,0,0,0,0,0,0,0,0
sps4_200802_009,0,0,0,0,0,0,0,0
sps4_200802_010,0,0,0,0,0,0,0,0
sps4_200802_011,0,0,0,0,0,0,0,0
sps4_200802_012,0,0,0,0,0,0,0,0
sps4_200802_013,0,0,0,0,0,0,0,0
sps4_200802_014,0,0,0,0,0,0,0,0
sps4_200802_015,0,0,0,0,0,0,0,0
sps4_200802_016,0,0,0,0,0,0,0,0
sps4_200802_017,0,0,0,0,0,0,0,0
sps4_200802_018,0,0,0,0,0,0,0,0
sps4_200802_019,0,0,0,0,0,0,0,0
sps4_200802_020,0,0,0,0,0,0,0,0
sps4_200802_021,0,0,0,0,0,0,0,0
sps4_200802_022,0,0,0,0,0,0,0,0
sps4_200802_023,0,0,0,0,0,0,0,0
sps4_200802_024,0,0,0,0,0,0,0,0
sps4_200802_025,0,0,0,0,0,0,0,0
sps4_200902_001,1,1,1,1,1,0,0,0
sps4_200902_002,1,1,1,1,1,0,0,0
sps4_200902_003,1,1,1,1,1,0,0,0
sps4_200902_004,1,1,1,1,1,0,0,0
sps4_200902_005,1,1,1,1,1,0,0,0
sps4_200902_006,1,1,1,1,1,0,0,0
sps4_200902_007,1,1,1,1,1,0,0,0
sps4_200902_008,1,1,1,1,1,0,0,0
sps4_200902_009,1,1,1,1,1,0,0,0
sps4_200902_010,1,1,1,1,1,0,0,0
sps4_200902_011,1,1,1,1,1,0,0,0
sps4_200902_012,1,1,1,1,1,0,0,0
sps4_200902_013,1,1,1,1,1,0,0,0
sps4_200902_014,1,1,1,1,1,0,0,0
sps4_200902_015,1,1,1,1,1,0,0,0
sps4_200902_016,1,1,1,1,1,0,0,0
sps4_200902_017,1,1,1,1,1,0,0,0
sps4_200902_018,1,1,1,1,1,0,0,0
sps4_200902_019,0,0,0,0,0,0,0,0
sps4_200902_020,1,1,1,1,1,0,0,0
sps4_200902_021,0,0,0,0,0,0,0,0
sps4_200902_022,1,1,1,1,1,0,0,0
sps4_200902_023,1,1,1,1,1,0,0,0
sps4_200902_024,0,0,0,0,0,0,0,0
sps4_200902_025,0,0,0,0,0,0,0,0
sps4_201002_001,1,1,1,1,1,0,0,0
sps4_201002_002,0,0,0,0,0,0,0,0
sps4_201002_003,1,1,1,1,1,0,0,0
sps4_201002_004,1,1,1,1,1,0,0,0
sps4_201002_005,1,1,1,1,1,0,0,0
sps4_201002_006,0,0,0,0,0,0,0,0
sps4_201002_007,0,0,0,0,0,0,0,0
sps4_201002_008,0,0,0,0,0,0,0,0
sps4_201002_009,1,1,1,1,1,0,0,0
sps4_201002_010,1,1,1,1,1,0,0,0
sps4_201002_011,1,1,1,1,1,0,0,0
sps4_201002_012,1,0,0,0,0,0,0,0
sps4_201002_013,0,0,0,0,0,0,0,0
sps4_201002_014,1,1,1,1,1,0,0,0
sps4_201002_015,1,1,1,1,1,0,0,0
sps4_201002_016,0,0,0,0,0,0,0,0
sps4_201002_017,1,1,1,1,1,0,0,0
sps4_201002_018,1,1,1,1,1,0,0,0
sps4_201002_019,1,1,1,1,1,0,0,0
sps4_201002_020,1,1,1,1,1,0,0,0
sps4_201002_021,1,1,1,1,1,0,0,0
sps4_201002_022,1,1,1,1,1,0,0,0
sps4_201002_023,1,1,1,1,1,0,0,0
sps4_201002_024,0,0,0,0,0,0,0,0
sps4_201002_025,1,1,1,0,0,0,0,0
sps4_201102_001,1,1,1,0,0,0,0,0
sps4_201102_002,1,0,0,0,0,0,0,0
sps4_201102_003,1,0,0,0,0,0,0,0
sps4_201102_004,1,0,0,0,0,0,0,0
sps4_201102_005,0,0,0,0,0,0,0,0
sps4_201102_006,0,0,0,0,0,0,0,0
sps4_201102_007,0,0,0,0,0,0,0,0
sps4_201102_008,0,0,0,0,0,0,0,0
sps4_201102_009,0,0,0,0,0,0,0,0
sps4_201102_010,0,0,0,0,0,0,0,0
sps4_201102_011,0,0,0,0,0,0,0,0
sps4_201102_012,0,0,0,0,0,0,0,0
sps4_201102_013,0,0,0,0,0,0,0,0
sps4_201102_014,0,0,0,0,0,0,0,0
sps4_201102_015,0,0,0,0,0,0,0,0
sps4_201102_016,0,0,0,0,0,0,0,0
sps4_201102_017,0,0,0,0,0,0,0,0
sps4_201102_018,0,0,0,0,0,0,0,0
sps4_201102_019,0,0,0,0,0,0,0,0
sps4_201102_020,0,0,0,0,0,0,0,0
sps4_201102_021,0,0,0,0,0,0,0,0
sps4_201102_022,0,0,0,0,0,0,0,0
sps4_201102_023,0,0,0,0,0,0,0,0
sps4_201102_024,0,0,0,0,0,0,0,0
sps4_201102_025,0,0,0,0,0,0,0,0
sps4_201202_001,0,0,0,0,0,0,0,0
sps4_201202_002,0,0,0,0,0,0,0,0
sps4_201202_003,0,0,0,0,0,0,0,0
sps4_201202_004,0,0,0,0,0,0,0,0
sps4_201202_005,0,0,0,0,0,0,0,0
sps4_201202_006,0,0,0,0,0,0,0,0
sps4_201202_007,0,0,0,0,0,0,0,0
sps4_201202_008,0,0,0,0,0,0,0,0
sps4_201202_009,0,0,0,0,0,0,0,0
sps4_201202_010,0,0,0,0,0,0,0,0
sps4_201202_011,0,0,0,0,0,0,0,0
sps4_201202_012,0,0,0,0,0,0,0,0
sps4_201202_013,0,0,0,0,0,0,0,0
sps4_201202_014,0,0,0,0,0,0,0,0
sps4_201202_015,0,0,0,0,0,0,0,0
sps4_201202_016,0,0,0,0,0,0,0,0
sps4_201202_017,0,0,0,0,0,0,0,0
sps4_201202_018,0,0,0,0,0,0,0,0
sps4_201202_019,0,0,0,0,0,0,0,0
sps4_201202_020,0,0,0,0,0,0,0,0
sps4_201202_021,0,0,0,0,0,0,0,0
sps4_201202_022,0,0,0,0,0,0,0,0
sps4_201202_023,0,0,0,0,0,0,0,0
sps4_201202_024,0,0,0,0,0,0,0,0
sps4_201202_025,0,0,0,0,0,0,0,0
sps4_201302_001,0,0,0,0,0,0,0,0
sps4_201302_002,0,0,0,0,0,0,0,0
sps4_201302_003,0,0,0,0,0,0,0,0
sps4_201302_004,0,0,0,0,0,0,0,0
sps4_201302_005,0,0,0,0,0,0,0,0
sps4_201302_006,0,0,0,0,0,0,0,0
sps4_201302_007,0,0,0,0,0,0,0,0
sps4_201302_008,0,0,0,0,0,0,0,0
sps4_201302_009,0,0,0,0,0,0,0,0
sps4_201302_010,0,0,0,0,0,0,0,0
sps4_201302_011,0,0,0,0,0,0,0,0
sps4_201302_012,0,0,0,0,0,0,0,0
sps4_201302_013,0,0,0,0,0,0,0,0
sps4_201302_014,0,0,0,0,0,0,0,0
sps4_201302_015,0,0,0,0,0,0,0,0
sps4_201302_016,0,0,0,0,0,0,0,0
sps4_201302_017,0,0,0,0,0,0,0,0
sps4_201302_018,0,0,0,0,0,0,0,0
sps4_201302_019,0,0,0,0,0,0,0,0
sps4_201302_020,0,0,0,0,0,0,0,0
sps4_201302_021,0,0,0,0,0,0,0,0
sps4_201302_022,0,0,0,0,0,0,0,0
sps4_201302_023,0,0,0,0,0,0,0,0
sps4_201302_024,0,0,0,0,0,0,0,0
sps4_201302_025,0,0,0,0,0,0,0,0
sps4_201402_001,0,0,0,0,0,0,0,0
sps4_201402_002,0,0,0,0,0,0,0,0
sps4_201402_003,0,0,0,0,0,0,0,0
sps4_201402_004,0,0,0,0,0,0,0,0
sps4_201402_005,0,0,0,0,0,0,0,0
sps4_201402_006,0,0,0,0,0,0,0,0
sps4_201402_007,0,0,0,0,0,0,0,0
sps4_201402_008,0,0,0,0,0,0,0,0
sps4_201402_009,0,0,0,0,0,0,0,0
sps4_201402_010,0,0,0,0,0,0,0,0
sps4_201402_011,0,0,0,0,0,0,0,0
sps4_201402_012,0,0,0,0,0,0,0,0
sps4_201402_013,0,0,0,0,0,0,0,0
sps4_201402_014,0,0,0,0,0,0,0,0
sps4_201402_015,0,0,0,0,0,0,0,0
sps4_201402_016,0,0,0,0,0,0,0,0
sps4_201402_017,0,0,0,0,0,0,0,0
sps4_201402_018,0,0,0,0,0,0,0,0
sps4_201402_019,0,0,0,0,0,0,0,0
sps4_201402_020,0,0,0,0,0,0,0,0
sps4_201402_021,0,0,0,0,0,0,0,0
sps4_201402_022,0,0,0,0,0,0,0,0
sps4_201402_023,0,0,0,0,0,0,0,0
sps4_201402_024,0,0,0,0,0,0,0,0
sps4_201402_025,0,0,0,0,0,0,0,0
sps4_201502_001,0,0,0,0,0,0,0,0
sps4_201502_002,0,0,0,0,0,0,0,0
sps4_201502_003,0,0,0,0,0,0,0,0
sps4_201502_004,0,0,0,0,0,0,0,0
sps4_201502_005,0,0,0,0,0,0,0,0
sps4_201502_006,0,0,0,0,0,0,0,0
sps4_201502_007,0,0,0,0,0,0,0,0
sps4_201502_008,0,0,0,0,0,0,0,0
sps4_201502_009,0,0,0,0,0,0,0,0
sps4_201502_010,0,0,0,0,0,0,0,0
sps4_201502_011,0,0,0,0,0,0,0,0
sps4_201502_012,0,0,0,0,0,0,0,0
sps4_201502_013,0,0,0,0,0,0,0,0
sps4_201502_014,0,0,0,0,0,0,0,0
sps4_201502_015,0,0,0,0,0,0,0,0
sps4_201502_016,0,0,0,0,0,0,0,0
sps4_201502_017,0,0,0,0,0,0,0,0
sps4_201502_018,0,0,0,0,0,0,0,0
sps4_201502_019,0,0,0,0,0,0,0,0
sps4_201502_020,0,0,0,0,0,0,0,0
sps4_201502_021,0,0,0,0,0,0,0,0
sps4_201502_022,0,0,0,0,0,0,0,0
sps4_201502_023,0,0,0,0,0,0,0,0
sps4_201502_024,0,0,0,0,0,0,0,0
sps4_201502_025,0,0,0,0,0,0,0,0
sps4_201602_001,0,0,0,0,0,0,0,0
sps4_201602_002,0,0,0,0,0,0,0,0
sps4_201602_003,0,0,0,0,0,0,0,0
sps4_201602_004,0,0,0,0,0,0,0,0
sps4_201602_005,0,0,0,0,0,0,0,0
sps4_201602_006,0,0,0,0,0,0,0,0
sps4_201602_007,0,0,0,0,0,0,0,0
sps4_201602_008,0,0,0,0,0,0,0,0
sps4_201602_009,0,0,0,0,0,0,0,0
sps4_201602_010,0,0,0,0,0,0,0,0
sps4_201602_011,0,0,0,0,0,0,0,0
sps4_201602_012,0,0,0,0,0,0,0,0
sps4_201602_013,0,0,0,0,0,0,0,0
sps4_201602_014,0,0,0,0,0,0,0,0
sps4_201602_015,0,0,0,0,0,0,0,0
sps4_201602_016,0,0,0,0,0,0,0,0
sps4_201602_017,0,0,0,0,0,0,0,0
sps4_201602_018,0,0,0,0,0,0,0,0
sps4_201602_019,0,0,0,0,0,0,0,0
sps4_201602_020,0,0,0,0,0,0,0,0
sps4_201602_021,0,0,0,0,0,0,0,0
sps4_201602_022,0,0,0,0,0,0,0,0
sps4_201602_023,0,0,0,0,0,0,0,0
sps4_201602_024,0,0,0,0,0,0,0,0
sps4_201602_025,0,0,0,0,0,0,0,0
sps4_201702_001,0,0,0,0,0,0,0,0
sps4_201702_002,0,0,0,0,0,0,0,0
sps4_201702_003,0,0,0,0,0,0,0,0
sps4_201702_004,0,0,0,0,0,0,0,0
sps4_201702_005,0,0,0,0,0,0,0,0
sps4_201702_006,0,0,0,0,0,0,0,0
sps4_201702_007,0,0,0,0,0,0,0,0
sps4_201702_008,0,0,0,0,0,0,0,0
sps4_201702_009,0,0,0,0,0,0,0,0
sps4_201702_010,0,0,0,0,0,0,0,0
sps4_201702_011,0,0,0,0,0,0,0,0
sps4_201702_012,0,0,0,0,0,0,0,0
sps4_201702_013,0,0,0,0,0,0,0,0
sps4_201702_014,0,0,0,0,0,0,0,0
sps4_201702_015,0,0,0,0,0,0,0,0
sps4_201702_016,0,0,0,0,0,0,0,0
sps4_201702_017,0,0,0,0,0,0,0,0
sps4_201702_018,0,0,0,0,0,0,0,0
sps4_201702_019,0,0,0,0,0,0,0,0
sps4_201702_020,0,0,0,0,0,0,0,0
sps4_201702_021,0,0,0,0,0,0,0,0
sps4_201702_022,0,0,0,0,0,0,0,0
sps4_201702_023,0,0,0,0,0,0,0,0
sps4_201702_024,0,0,0,0,0,0,0,0
sps4_201702_025,0,0,0,0,0,0,0,0
sps4_201802_001,0,0,0,0,0,0,0,0
sps4_201802_002,0,0,0,0,0,0,0,0
sps4_201802_003,0,0,0,0,0,0,0,0
sps4_201802_004,0,0,0,0,0,0,0,0
sps4_201802_005,0,0,0,0,0,0,0,0
sps4_201802_006,0,0,0,0,0,0,0,0
sps4_201802_007,0,0,0,0,0,0,0,0
sps4_201802_008,0,0,0,0,0,0,0,0
sps4_201802_009,0,0,0,0,0,0,0,0
sps4_201802_010,0,0,0,0,0,0,0,0
sps4_201802_011,0,0,0,0,0,0,0,0
sps4_201802_012,0,0,0,0,0,0,0,0
sps4_201802_013,0,0,0,0,0,0,0,0
sps4_201802_014,0,0,0,0,0,0,0,0
sps4_201802_015,0,0,0,0,0,0,0,0
sps4_201802_016,0,0,0,0,0,0,0,0
sps4_201802_017,0,0,0,0,0,0,0,0
sps4_201802_018,0,0,0,0,0,0,0,0
sps4_201802_019,0,0,0,0,0,0,0,0
sps4_201802_020,0,0,0,0,0,0,0,0
sps4_201802_021,0,0,0,0,0,0,0,0
sps4_201802_022,0,0,0,0,0,0,0,0
sps4_201802_023,0,0,0,0,0,0,0,0
sps4_201802_024,0,0,0,0,0,0,0,0
sps4_201802_025,0,0,0,0,0,0,0,0
sps4_201902_001,0,0,0,0,0,0,0,0
sps4_201902_002,0,0,0,0,0,0,0,0
sps4_201902_003,0,0,0,0,0,0,0,0
sps4_201902_004,0,0,0,0,0,0,0,0
sps4_201902_005,0,0,0,0,0,0,0,0
sps4_201902_006,0,0,0,0,0,0,0,0
sps4_201902_007,0,0,0,0,0,0,0,0
sps4_201902_008,0,0,0,0,0,0,0,0
sps4_201902_009,0,0,0,0,0,0,0,0
sps4_201902_010,0,0,0,0,0,0,0,0
sps4_201902_011,0,0,0,0,0,0,0,0
sps4_201902_012,0,0,0,0,0,0,0,0
sps4_201902_013,0,0,0,0,0,0,0,0
sps4_201902_014,0,0,0,0,0,0,0,0
sps4_201902_015,0,0,0,0,0,0,0,0
sps4_201902_016,0,0,0,0,0,0,0,0
sps4_201902_017,0,0,0,0,0,0,0,0
sps4_201902_018,0,0,0,0,0,0,0,0
sps4_201902_019,0,0,0,0,0,0,0,0
sps4_201902_020,0,0,0,0,0,0,0,0
sps4_201902_021,0,0,0,0,0,0,0,0
sps4_201902_022,0,0,0,0,0,0,0,0
sps4_201902_023,0,0,0,0,0,0,0,0
sps4_201902_024,0,0,0,0,0,0,0,0
sps4_201902_025,0,0,0,0,0,0,0,0
sps4_202002_001,0,0,0,0,0,0,0,0
sps4_202002_002,0,0,0,0,0,0,0,0
sps4_202002_003,0,0,0,0,0,0,0,0
sps4_202002_004,0,0,0,0,0,0,0,0
sps4_202002_005,0,0,0,0,0,0,0,0
sps4_202002_006,0,0,0,0,0,0,0,0
sps4_202002_007,0,0,0,0,0,0,0,0
sps4_202002_008,0,0,0,0,0,0,0,0
sps4_202002_009,0,0,0,0,0,0,0,0
sps4_202002_010,0,0,0,0,0,0,0,0
sps4_202002_011,0,0,0,0,0,0,0,0
sps4_202002_012,0,0,0,0,0,0,0,0
sps4_202002_013,0,0,0,0,0,0,0,0
sps4_202002_014,0,0,0,0,0,0,0,0
sps4_202002_015,0,0,0,0,0,0,0,0
sps4_202002_016,0,0,0,0,0,0,0,0
sps4_202002_017,0,0,0,0,0,0,0,0
sps4_202002_018,0,0,0,0,0,0,0,0
sps4_202002_019,0,0,0,0,0,0,0,0
sps4_202002_020,0,0,0,0,0,0,0,0
sps4_202002_021,0,0,0,0,0,0,0,0
sps4_202002_022,0,0,0,0,0,0,0,0
sps4_202002_023,0,0,0,0,0,0,0,0
sps4_202002_024,0,0,0,0,0,0,0,0
sps4_202002_025,0,0,0,0,0,0,0,0
sps4_202102_001,0,0,0,0,0,0,0,0
sps4_202102_002,0,0,0,0,0,0,0,0
sps4_202102_003,0,0,0,0,0,0,0,0
sps4_202102_004,0,0,0,0,0,0,0,0
sps4_202102_005,0,0,0,0,0,0,0,0
sps4_202102_006,0,0,0,0,0,0,0,0
sps4_202102_007,0,0,0,0,0,0,0,0
sps4_202102_008,0,0,0,0,0,0,0,0
sps4_202102_009,0,0,0,0,0,0,0,0
sps4_202102_010,0,0,0,0,0,0,0,0
sps4_202102_011,0,0,0,0,0,0,0,0
sps4_202102_012,0,0,0,0,0,0,0,0
sps4_202102_013,0,0,0,0,0,0,0,0
sps4_202102_014,0,0,0,0,0,0,0,0
sps4_202102_015,0,0,0,0,0,0,0,0
sps4_202102_016,0,0,0,0,0,0,0,0
sps4_202102_017,0,0,0,0,0,0,0,0
sps4_202102_018,0,0,0,0,0,0,0,0
sps4_202102_019,0,0,0,0,0,0,0,0
sps4_202102_020,0,0,0,0,0,0,0,0
sps4_202102_021,0,0,0,0,0,0,0,0
sps4_202102_022,0,0,0,0,0,0,0,0
sps4_202102_023,0,0,0,0,0,0,0,0
sps4_202102_024,0,0,0,0,0,0,0,0
sps4_202102_025,0,0,0,0,0,0,0,0
sps4_200211_001,0,0,0,0,0,0,0,0
sps4_200211_002,0,0,0,0,0,0,0,0
sps4_200211_003,0,0,0,0,0,0,0,0
sps4_200211_004,0,0,0,0,0,0,0,0
sps4_200211_005,0,0,0,0,0,0,0,0
sps4_200211_006,0,0,0,0,0,0,0,0
sps4_200211_007,0,0,0,0,0,0,0,0
sps4_200211_008,0,0,0,0,0,0,0,0
sps4_200211_009,0,0,0,0,0,0,0,0
sps4_200211_010,0,0,0,0,0,0,0,0
sps4_200211_011,0,0,0,0,0,0,0,0
sps4_200211_012,0,0,0,0,0,0,0,0
sps4_200211_013,0,0,0,0,0,0,0,0
sps4_200211_014,0,0,0,0,0,0,0,0
sps4_200211_015,0,0,0,0,0,0,0,0
sps4_200211_016,0,0,0,0,0,0,0,0
sps4_200211_017,0,0,0,0,0,0,0,0
sps4_200211_018,0,0,0,0,0,0,0,0
sps4_200211_019,0,0,0,0,0,0,0,0
sps4_200211_020,0,0,0,0,0,0,0,0
sps4_200211_021,0,0,0,0,0,0,0,0
sps4_200211_022,0,0,0,0,0,0,0,0
sps4_200211_023,0,0,0,0,0,0,0,0
sps4_200211_024,0,0,0,0,0,0,0,0
sps4_200211_025,0,0,0,0,0,0,0,0
sps4_200311_001,0,0,0,0,0,0,0,0
sps4_200311_002,0,0,0,0,0,0,0,0
sps4_200311_003,0,0,0,0,0,0,0,0
sps4_200311_004,0,0,0,0,0,0,0,0
sps4_200311_005,0,0,0,0,0,0,0,0
sps4_200311_006,0,0,0,0,0,0,0,0
sps4_200311_007,0,0,0,0,0,0,0,0
sps4_200311_008,0,0,0,0,0,0,0,0
sps4_200311_009,0,0,0,0,0,0,0,0
sps4_200311_010,0,0,0,0,0,0,0,0
sps4_200311_011,0,0,0,0,0,0,0,0
sps4_200311_012,0,0,0,0,0,0,0,0
sps4_200311_013,0,0,0,0,0,0,0,0
sps4_200311_014,0,0,0,0,0,0,0,0
sps4_200311_015,0,0,0,0,0,0,0,0
sps4_200311_016,0,0,0,0,0,0,0,0
sps4_200311_017,0,0,0,0,0,0,0,0
sps4_200311_018,0,0,0,0,0,0,0,0
sps4_200311_019,0,0,0,0,0,0,0,0
sps4_200311_020,0,0,0,0,0,0,0,0
sps4_200311_021,0,0,0,0,0,0,0,0
sps4_200311_022,0,0,0,0,0,0,0,0
sps4_200311_023,0,0,0,0,0,0,0,0
sps4_200311_024,0,0,0,0,0,0,0,0
sps4_200311_025,0,0,0,0,0,0,0,0
sps4_200411_001,0,0,0,0,0,0,0,0
sps4_200411_002,0,0,0,0,0,0,0,0
sps4_200411_003,0,0,0,0,0,0,0,0
sps4_200411_004,0,0,0,0,0,0,0,0
sps4_200411_005,0,0,0,0,0,0,0,0
sps4_200411_006,0,0,0,0,0,0,0,0
